2026-05-26 17:41:38 | INFO     | browser | Browser launched (stealth mode)
2026-05-26 17:41:38 | INFO     | browser | Opening: https://bidplus.gem.gov.in/all-bids
2026-05-26 17:41:50 | INFO     | browser | GeM listing page loaded
2026-05-26 17:41:55 | DEBUG    | browser | Filters reset
2026-05-26 17:41:55 | INFO     | browser | Selecting filter: Product Bid/RAs
2026-05-26 17:42:06 | DEBUG    | browser | Downloaded: GeM-Bidding-9062177.pdf
2026-05-26 17:44:36 | DEBUG    | browser | Downloaded: GeM-Bidding-9287446.pdf
2026-05-26 17:44:50 | DEBUG    | browser | Downloaded: GeM-Bidding-8708002.pdf
2026-05-26 17:45:04 | DEBUG    | browser | Downloaded: GeM-Bidding-9246670.pdf
2026-05-26 17:45:18 | DEBUG    | browser | Downloaded: GeM-Bidding-8736998.pdf
2026-05-26 17:45:29 | DEBUG    | browser | Downloaded: GeM-Bidding-8721825.pdf
2026-05-26 17:45:44 | DEBUG    | browser | Downloaded: GeM-Bidding-9241127.pdf
2026-05-26 17:46:03 | DEBUG    | browser | Downloaded: GeM-Bidding-9243919.pdf
2026-05-26 17:46:13 | DEBUG    | browser | Downloaded: GeM-Bidding-8552631.pdf
2026-05-26 17:46:33 | DEBUG    | browser | Downloaded: GeM-Bidding-8850785.pdf
2026-05-26 17:46:54 | DEBUG    | browser | Filters reset
2026-05-26 17:46:54 | INFO     | browser | Selecting filter: Service Bid/RAs
2026-05-26 17:47:03 | DEBUG    | browser | Downloaded: GeM-Bidding-9259266.pdf
2026-05-26 17:47:14 | DEBUG    | browser | Downloaded: GeM-Bidding-8811625.pdf
2026-05-26 17:47:25 | DEBUG    | browser | Downloaded: GeM-Bidding-9059135.pdf
2026-05-26 17:47:36 | DEBUG    | browser | Downloaded: GeM-Bidding-9289748.pdf
2026-05-26 17:47:45 | DEBUG    | browser | Downloaded: GeM-Bidding-9288974.pdf
2026-05-26 17:47:55 | DEBUG    | browser | Downloaded: GeM-Bidding-9284277.pdf
2026-05-26 17:48:08 | DEBUG    | browser | Downloaded: GeM-Bidding-9264229.pdf
2026-05-26 17:48:19 | DEBUG    | browser | Downloaded: GeM-Bidding-9261642.pdf
2026-05-26 17:48:31 | DEBUG    | browser | Downloaded: GeM-Bidding-9243568.pdf
2026-05-26 17:48:42 | DEBUG    | browser | Downloaded: GeM-Bidding-9240821.pdf
2026-05-26 17:48:57 | DEBUG    | browser | Filters reset
2026-05-26 17:48:57 | INFO     | browser | Selecting filter: Bid To RAs
2026-05-26 17:49:07 | DEBUG    | browser | Downloaded: GeM-Bidding-9265761.pdf
2026-05-26 17:49:18 | DEBUG    | browser | Downloaded: GeM-Bidding-9311183.pdf
2026-05-26 17:49:28 | DEBUG    | browser | Downloaded: GeM-Bidding-9152796.pdf
2026-05-26 17:49:48 | DEBUG    | browser | Downloaded: GeM-Bidding-9209695.pdf
2026-05-26 17:49:57 | DEBUG    | browser | Downloaded: GeM-Bidding-9299547.pdf
2026-05-26 17:50:08 | DEBUG    | browser | Downloaded: GeM-Bidding-9192579.pdf
2026-05-26 17:50:25 | DEBUG    | browser | Downloaded: GeM-Bidding-8640821.pdf
2026-05-26 17:50:36 | DEBUG    | browser | Downloaded: GeM-Bidding-9018999.pdf
2026-05-26 17:50:45 | DEBUG    | browser | Downloaded: GeM-Bidding-9269169.pdf
2026-05-26 17:50:53 | DEBUG    | browser | Downloaded: GeM-Bidding-9242226.pdf
2026-05-26 17:51:10 | DEBUG    | browser | Filters reset
2026-05-26 17:51:10 | INFO     | browser | Selecting filter: Product Custom Bid/RAs
2026-05-26 17:51:19 | DEBUG    | browser | Downloaded: GeM-Bidding-8498005.pdf
2026-05-26 17:51:27 | DEBUG    | browser | Downloaded: GeM-Bidding-9289946.pdf
2026-05-26 17:51:36 | DEBUG    | browser | Downloaded: GeM-Bidding-9289771.pdf
2026-05-26 17:51:43 | DEBUG    | browser | Downloaded: GeM-Bidding-9288575.pdf
2026-05-26 17:51:50 | DEBUG    | browser | Downloaded: GeM-Bidding-9288088.pdf
2026-05-26 17:51:58 | DEBUG    | browser | Downloaded: GeM-Bidding-9286789.pdf
2026-05-26 17:52:08 | DEBUG    | browser | Downloaded: GeM-Bidding-9286680.pdf
2026-05-26 17:52:21 | DEBUG    | browser | Downloaded: GeM-Bidding-9285361.pdf
2026-05-26 17:52:30 | DEBUG    | browser | Downloaded: GeM-Bidding-9285327.pdf
2026-05-26 17:52:40 | DEBUG    | browser | Downloaded: GeM-Bidding-9282962.pdf
2026-05-26 17:52:56 | DEBUG    | browser | Filters reset
2026-05-26 17:52:56 | INFO     | browser | Selecting filter: BOQ Bids
2026-05-26 17:53:04 | DEBUG    | browser | Downloaded: GeM-Bidding-9301435.pdf
2026-05-26 17:53:14 | DEBUG    | browser | Downloaded: GeM-Bidding-9301243.pdf
