2026-05-26 17:41:14 | INFO     | main | Mode: continuous hourly loop
2026-05-27 10:16:53 | INFO     | main | Mode: full vector store re-index
2026-05-27 10:31:28 | INFO     | main | Mode: full vector store re-index
2026-05-27 15:14:03 | INFO     | main | Mode: single scrape run
2026-05-27 17:28:44 | INFO     | main | Mode: single scrape run
2026-05-27 21:16:26 | INFO     | main | Mode: single scrape run
2026-05-27 21:45:13 | INFO     | main | Mode: single scrape run
2026-05-27 22:12:11 | INFO     | main | Mode: full vector store re-index
2026-05-27 22:50:15 | INFO     | main | Mode: single scrape run
2026-05-27 22:51:55 | INFO     | main | Mode: single scrape run
2026-05-27 22:53:20 | INFO     | main | Mode: single scrape run
2026-05-27 23:18:32 | INFO     | main | Mode: full vector store re-index
2026-05-29 10:41:35 | INFO     | main | Mode: single scrape run
2026-05-29 10:41:42 | INFO     | main | Mode: single scrape run
2026-05-29 10:52:21 | INFO     | main | Mode: single scrape run
2026-05-29 14:18:43 | INFO     | main | Mode: single scrape run
2026-05-29 15:36:48 | INFO     | main | Mode: single scrape run
2026-05-29 16:01:03 | INFO     | main | Mode: single scrape run
