2026-05-27 22:53:08 | DEBUG    | parser | RA card scrape: Locator.inner_text: Connection closed while reading from the driver
2026-05-29 10:50:20 | DEBUG    | parser | RA card scrape: Locator.inner_text: Connection closed while reading from the driver
2026-05-29 15:37:23 | DEBUG    | parser | Found opening date via label: 19-05-2026 15:30:00
2026-05-29 15:37:23 | DEBUG    | parser | Found end date via label: 19-05-2026 15:00:00
2026-05-29 15:38:17 | DEBUG    | parser | Found opening date via label: 14-05-2026 11:30:00
2026-05-29 15:38:17 | DEBUG    | parser | Found end date via label: 14-05-2026 11:00:00
2026-05-29 15:38:42 | DEBUG    | parser | Found opening date via label: 05-05-2026 14:30:00
2026-05-29 15:38:42 | DEBUG    | parser | Found end date via label: 05-05-2026 14:00:00
2026-05-29 15:39:10 | DEBUG    | parser | Found opening date via label: 23-03-2026 15:30:00
2026-05-29 15:39:10 | DEBUG    | parser | Found end date via label: 23-03-2026 15:00:00
2026-05-29 15:39:36 | DEBUG    | parser | Found opening date via label: 09-04-2026 17:30:00
2026-05-29 15:39:36 | DEBUG    | parser | Found end date via label: 09-04-2026 17:00:00
2026-05-29 15:40:03 | DEBUG    | parser | Found opening date via label: 28-05-2026 11:30:00
2026-05-29 15:40:03 | DEBUG    | parser | Found end date via label: 28-05-2026 11:00:00
2026-05-29 15:40:32 | DEBUG    | parser | Found opening date via label: 14-05-2026 13:30:00
2026-05-29 15:40:32 | DEBUG    | parser | Found end date via label: 14-05-2026 13:00:00
2026-05-29 15:40:58 | DEBUG    | parser | Found opening date via label: 01-05-2026 16:30:00
2026-05-29 15:40:58 | DEBUG    | parser | Found end date via label: 01-05-2026 16:00:00
2026-05-29 15:41:25 | DEBUG    | parser | Found opening date via label: 22-05-2026 16:30:00
2026-05-29 15:41:25 | DEBUG    | parser | Found end date via label: 22-05-2026 16:00:00
2026-05-29 16:01:38 | DEBUG    | parser | Found opening date via label: 07-10-2025 15:30:00
2026-05-29 16:01:38 | DEBUG    | parser | Found end date via label: 07-10-2025 15:00:00
2026-05-29 16:02:29 | DEBUG    | parser | Found opening date via label: 15-05-2026 17:30:00
2026-05-29 16:02:29 | DEBUG    | parser | Found end date via label: 15-05-2026 17:00:00
2026-05-29 16:02:58 | DEBUG    | parser | Found opening date via label: 13-05-2026 09:30:00
2026-05-29 16:02:58 | DEBUG    | parser | Found end date via label: 13-05-2026 09:00:00
2026-05-29 16:03:28 | DEBUG    | parser | Found opening date via label: 13-10-2025 12:30:00
2026-05-29 16:03:28 | DEBUG    | parser | Found end date via label: 13-10-2025 12:00:00
2026-05-29 16:03:54 | DEBUG    | parser | Found opening date via label: 28-03-2026 20:30:00
2026-05-29 16:03:54 | DEBUG    | parser | Found end date via label: 28-03-2026 20:00:00
2026-05-29 16:04:25 | DEBUG    | parser | Found opening date via label: 28-05-2026 11:30:00
2026-05-29 16:04:25 | DEBUG    | parser | Found end date via label: 28-05-2026 11:00:00
2026-05-29 16:04:51 | DEBUG    | parser | Found opening date via label: 14-05-2026 13:30:00
2026-05-29 16:04:51 | DEBUG    | parser | Found end date via label: 14-05-2026 13:00:00
2026-05-29 16:05:18 | DEBUG    | parser | Found opening date via label: 01-05-2026 16:30:00
2026-05-29 16:05:18 | DEBUG    | parser | Found end date via label: 01-05-2026 16:00:00
2026-05-29 16:05:44 | DEBUG    | parser | Found opening date via label: 15-05-2026 16:30:00
2026-05-29 16:05:44 | DEBUG    | parser | Found end date via label: 15-05-2026 16:00:00
