2026-05-26 17:42:16 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (0 chunks)
2026-05-26 17:44:30 | DEBUG    | vector_store | Upserted 51 chunks for GEM/2026/B/7306031
2026-05-26 17:44:44 | DEBUG    | vector_store | Upserted 39 chunks for GEM/2026/B/7502063
2026-05-26 17:44:57 | DEBUG    | vector_store | Upserted 42 chunks for GEM/2025/B/6996014
2026-05-26 17:45:12 | DEBUG    | vector_store | Upserted 52 chunks for GEM/2026/B/7465610
2026-05-26 17:45:24 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2025/B/7021779
2026-05-26 17:45:38 | DEBUG    | vector_store | Upserted 48 chunks for GEM/2025/B/7008160
2026-05-26 17:45:58 | DEBUG    | vector_store | Upserted 32 chunks for GEM/2026/B/7460517
2026-05-26 17:46:09 | DEBUG    | vector_store | Upserted 28 chunks for GEM/2026/B/7463
2026-05-26 17:46:28 | DEBUG    | vector_store | Upserted 56 chunks for GEM/2025/B/6859671
2026-05-26 17:46:41 | DEBUG    | vector_store | Upserted 39 chunks for GEM/2026/B/7120696
2026-05-26 17:47:08 | DEBUG    | vector_store | Upserted 25 chunks for GEM/2026/B/7477050
2026-05-26 17:47:20 | DEBUG    | vector_store | Upserted 37 chunks for GEM/2026/B/7086556
2026-05-26 17:47:31 | DEBUG    | vector_store | Upserted 25 chunks for GEM/2026/B/7303430
2026-05-26 17:47:39 | DEBUG    | vector_store | Upserted 24 chunks for GEM/2026/B/7504185
2026-05-26 17:47:48 | DEBUG    | vector_store | Upserted 27 chunks for GEM/2026/B/7503480
2026-05-26 17:47:59 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2026/B/7499285
2026-05-26 17:48:13 | DEBUG    | vector_store | Upserted 30 chunks for GEM/2026/B/7481350
2026-05-26 17:48:25 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7479037
2026-05-26 17:48:35 | DEBUG    | vector_store | Upserted 30 chunks for GEM/2026/B/7462785
2026-05-26 17:48:46 | DEBUG    | vector_store | Upserted 30 chunks for GEM/2026/B/7460256
2026-05-26 17:49:12 | DEBUG    | vector_store | Upserted 48 chunks for GEM/2026/B/7482709
2026-05-26 17:49:21 | DEBUG    | vector_store | Upserted 39 chunks for GEM/2026/B/7523628
2026-05-26 17:49:41 | DEBUG    | vector_store | Upserted 161 chunks for GEM/2026/B/7382732
2026-05-26 17:49:51 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7432560
2026-05-26 17:50:01 | DEBUG    | vector_store | Upserted 50 chunks for GEM/2026/B/7513146
2026-05-26 17:50:14 | DEBUG    | vector_store | Upserted 66 chunks for GEM/2026/B/7417029
2026-05-26 17:50:30 | DEBUG    | vector_store | Upserted 62 chunks for GEM/2025/B/6937012
2026-05-26 17:50:40 | DEBUG    | vector_store | Upserted 47 chunks for GEM/2026/B/7268255
2026-05-26 17:50:48 | DEBUG    | vector_store | Upserted 31 chunks for GEM/2026/B/7485827
2026-05-26 17:50:56 | DEBUG    | vector_store | Upserted 32 chunks for GEM/2026/B/7461528
2026-05-26 17:51:22 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2025/B/6812056
2026-05-26 17:51:29 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7504365
2026-05-26 17:51:38 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7504206
2026-05-26 17:51:46 | DEBUG    | vector_store | Upserted 36 chunks for GEM/2026/B/7503109
2026-05-26 17:51:53 | DEBUG    | vector_store | Upserted 37 chunks for GEM/2026/B/7502651
2026-05-26 17:52:02 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7501521
2026-05-26 17:52:10 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7501435
2026-05-26 17:52:23 | DEBUG    | vector_store | Upserted 29 chunks for GEM/2026/B/7500250
2026-05-26 17:52:35 | DEBUG    | vector_store | Upserted 53 chunks for GEM/2026/B/7500220
2026-05-26 17:52:43 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2026/B/7498190
2026-05-26 17:53:06 | DEBUG    | vector_store | Upserted 31 chunks for GEM/2026/B/7514898
2026-05-26 17:53:16 | DEBUG    | vector_store | Upserted 29 chunks for GEM/2026/B/7514716
2026-05-26 17:53:25 | DEBUG    | vector_store | Upserted 32 chunks for GEM/2026/B/7510269
2026-05-26 17:53:34 | DEBUG    | vector_store | Upserted 44 chunks for GEM/2026/B/7501045
2026-05-26 17:53:55 | DEBUG    | vector_store | Upserted 138 chunks for GEM/2026/B/7499633
2026-05-26 17:54:05 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7497122
